cycle	date	state	hpi	year	month	type
1975M06	6/1/1975	MO	33.21241853	1975	6	State
1975M06	6/1/1975	MS	41.73979751	1975	6	State
1975M06	6/1/1975	MT	28.53956864	1975	6	State
1975M06	6/1/1975	NC	29.26325062	1975	6	State
1975M06	6/1/1975	ND	40.43825025	1975	6	State
1975M06	6/1/1975	NE	31.12101394	1975	6	State
1975M06	6/1/1975	NH	23.2727081	1975	6	State
1975M06	6/1/1975	NJ	22.56952563	1975	6	State
1975M06	6/1/1975	NM	29.37235444	1975	6	State
1975M06	6/1/1975	NV	29.68076886	1975	6	State
1975M06	6/1/1975	NY	23.53944166	1975	6	State
1975M06	6/1/1975	OH	31.25359553	1975	6	State
1975M06	6/1/1975	OK	37.8052794	1975	6	State
1975M06	6/1/1975	OR	21.88535926	1975	6	State
1975M06	6/1/1975	PA	30.04878307	1975	6	State
1975M06	6/1/1975	RI	22.10555177	1975	6	State
1975M06	6/1/1975	SC	31.95117962	1975	6	State
1975M06	6/1/1975	SD	35.89625608	1975	6	State
1975M06	6/1/1975	TN	32.7829994	1975	6	State
1975M06	6/1/1975	TX	34.20570016	1975	6	State
1975M06	6/1/1975	UT	25.69553192	1975	6	State
1975M06	6/1/1975	VA	28.78449447	1975	6	State
1975M06	6/1/1975	VT	27.64664807	1975	6	State
1975M06	6/1/1975	WA	18.02126157	1975	6	State
1975M06	6/1/1975	WI	29.69189005	1975	6	State
1975M06	6/1/1975	WV	46.2747363	1975	6	State
1975M06	6/1/1975	WY	34.07627156	1975	6	State
1975M06	6/1/1975	US.NSA	24.51127818	1975	6	US
1975M06	6/1/1975	US.SA	24.29648879	1975	6	US
1975M07	7/1/1975	AK	37.88396575	1975	7	State
1975M07	7/1/1975	AL	36.54957909	1975	7	State
1975M07	7/1/1975	AR	38.32808612	1975	7	State
1975M07	7/1/1975	AZ	30.09379029	1975	7	State
1975M07	7/1/1975	CA	16.73344721	1975	7	State
1975M07	7/1/1975	CO	20.72346853	1975	7	State
1975M07	7/1/1975	CT	25.65188632	1975	7	State
1975M07	7/1/1975	DC	19.58130849	1975	7	State
1975M07	7/1/1975	DE	28.08373833	1975	7	State
1975M07	7/1/1975	FL	33.5939231	1975	7	State
1975M07	7/1/1975	GA	30.55792577	1975	7	State
1975M07	7/1/1975	HI	27.08623714	1975	7	State
1975M07	7/1/1975	IA	34.83163556	1975	7	State
1975M07	7/1/1975	ID	31.94699832	1975	7	State
1975M07	7/1/1975	IL	26.69173112	1975	7	State
1975M07	7/1/1975	IN	33.58658083	1975	7	State
1975M07	7/1/1975	KS	35.54867574	1975	7	State
1975M07	7/1/1975	KY	32.59793844	1975	7	State
1975M07	7/1/1975	LA	35.15301486	1975	7	State
1975M07	7/1/1975	MA	15.67204108	1975	7	State
1975M07	7/1/1975	MD	27.30740409	1975	7	State
1975M07	7/1/1975	ME	28.35218028	1975	7	State
1975M07	7/1/1975	MI	25.24592649	1975	7	State
1975M07	7/1/1975	MN	26.93667347	1975	7	State
1975M07	7/1/1975	MO	32.20055594	1975	7	State
1975M07	7/1/1975	MS	41.8201283	1975	7	State
1975M07	7/1/1975	MT	28.76508881	1975	7	State
1975M07	7/1/1975	NC	29.36443005	1975	7	State
1975M07	7/1/1975	ND	40.89921492	1975	7	State
1975M07	7/1/1975	NE	31.08054099	1975	7	State
1975M07	7/1/1975	NH	23.27928221	1975	7	State
1975M07	7/1/1975	NJ	22.86874956	1975	7	State
1975M07	7/1/1975	NM	29.55594256	1975	7	State
1975M07	7/1/1975	NV	29.97198128	1975	7	State
1975M07	7/1/1975	NY	23.78625471	1975	7	State
1975M07	7/1/1975	OH	31.46703245	1975	7	State
1975M07	7/1/1975	OK	37.86254931	1975	7	State
1975M07	7/1/1975	OR	22.21877534	1975	7	State
1975M07	7/1/1975	PA	30.22743084	1975	7	State
1975M07	7/1/1975	RI	22.37562579	1975	7	State
1975M07	7/1/1975	SC	32.1730791	1975	7	State
1975M07	7/1/1975	SD	35.71668767	1975	7	State
1975M07	7/1/1975	TN	32.9438462	1975	7	State
1975M07	7/1/1975	TX	33.92977827	1975	7	State
1975M07	7/1/1975	UT	25.62686457	1975	7	State
1975M07	7/1/1975	VA	28.95947637	1975	7	State
1975M07	7/1/1975	VT	27.79526803	1975	7	State
1975M07	7/1/1975	WA	18.16319998	1975	7	State
1975M07	7/1/1975	WI	29.86123856	1975	7	State
1975M07	7/1/1975	WV	47.21805247	1975	7	State
1975M07	7/1/1975	WY	34.52056737	1975	7	State
1975M07	7/1/1975	US.NSA	24.57416618	1975	7	US
1975M07	7/1/1975	US.SA	24.33336198	1975	7	US
1975M08	8/1/1975	AK	38.45979303	1975	8	State
1975M08	8/1/1975	AL	36.3552009	1975	8	State
1975M08	8/1/1975	AR	38.46046753	1975	8	State
1975M08	8/1/1975	AZ	29.60674388	1975	8	State
1975M08	8/1/1975	CA	16.95480385	1975	8	State
1975M08	8/1/1975	CO	20.72145424	1975	8	State
1975M08	8/1/1975	CT	25.63350667	1975	8	State
1975M08	8/1/1975	DC	19.91877571	1975	8	State
1975M08	8/1/1975	DE	28.29841026	1975	8	State
1975M08	8/1/1975	FL	33.01656359	1975	8	State
1975M08	8/1/1975	GA	30.31610753	1975	8	State
1975M08	8/1/1975	HI	27.17520017	1975	8	State
1975M08	8/1/1975	IA	34.91966863	1975	8	State
1975M08	8/1/1975	ID	32.00930045	1975	8	State
1975M08	8/1/1975	IL	26.83581449	1975	8	State
1975M08	8/1/1975	IN	33.33442092	1975	8	State
1975M08	8/1/1975	KS	35.70327144	1975	8	State
1975M08	8/1/1975	KY	32.97635349	1975	8	State
1975M08	8/1/1975	LA	35.37081849	1975	8	State
1975M08	8/1/1975	MA	15.75648283	1975	8	State
1975M08	8/1/1975	MD	27.51878494	1975	8	State
1975M08	8/1/1975	ME	28.57118948	1975	8	State
1975M08	8/1/1975	MI	25.33707754	1975	8	State
1975M08	8/1/1975	MN	27.26979078	1975	8	State
1975M08	8/1/1975	MO	31.62874027	1975	8	State
1975M08	8/1/1975	MS	41.76054279	1975	8	State
1975M08	8/1/1975	MT	28.94575705	1975	8	State
1975M08	8/1/1975	NC	29.51780556	1975	8	State
1975M08	8/1/1975	ND	41.47503298	1975	8	State
1975M08	8/1/1975	NE	31.08370254	1975	8	State
1975M08	8/1/1975	NH	23.23532954	1975	8	State
1975M08	8/1/1975	NJ	23.06398051	1975	8	State
1975M08	8/1/1975	NM	29.68213026	1975	8	State
1975M08	8/1/1975	NV	30.25597392	1975	8	State
1975M08	8/1/1975	NY	23.89558581	1975	8	State
1975M08	8/1/1975	OH	31.56375027	1975	8	State
1975M08	8/1/1975	OK	37.9933251	1975	8	State
1975M08	8/1/1975	OR	22.46337852	1975	8	State
1975M08	8/1/1975	PA	30.12562454	1975	8	State
1975M08	8/1/1975	RI	22.56595886	1975	8	State
1975M08	8/1/1975	SC	32.41031314	1975	8	State
1975M08	8/1/1975	SD	35.59268343	1975	8	State
1975M08	8/1/1975	TN	33.11278171	1975	8	State
1975M08	8/1/1975	TX	33.90756898	1975	8	State
1975M08	8/1/1975	UT	25.51812218	1975	8	State
1975M08	8/1/1975	VA	29.15069387	1975	8	State
1975M08	8/1/1975	VT	27.89791572	1975	8	State
1975M08	8/1/1975	WA	18.25481107	1975	8	State
1975M08	8/1/1975	WI	30.00862216	1975	8	State
1975M08	8/1/1975	WV	47.97549429	1975	8	State
1975M08	8/1/1975	WY	34.91665394	1975	8	State
1975M08	8/1/1975	US.NSA	24.67288923	1975	8	US
1975M08	8/1/1975	US.SA	24.44415763	1975	8	US
1975M09	9/1/1975	AK	38.96099608	1975	9	State
1975M09	9/1/1975	AL	36.11625689	1975	9	State
1975M09	9/1/1975	AR	38.47580011	1975	9	State
1975M09	9/1/1975	AZ	29.10228623	1975	9	State
1975M09	9/1/1975	CA	17.19437755	1975	9	State
1975M09	9/1/1975	CO	20.64772379	1975	9	State
1975M09	9/1/1975	CT	25.67351202	1975	9	State
1975M09	9/1/1975	DC	20.21525763	1975	9	State
1975M09	9/1/1975	DE	28.47775745	1975	9	State
1975M09	9/1/1975	FL	32.88362777	1975	9	State
1975M09	9/1/1975	GA	29.967575	1975	9	State
1975M09	9/1/1975	HI	27.23069054	1975	9	State
1975M09	9/1/1975	IA	34.95735018	1975	9	State
1975M09	9/1/1975	ID	32.11235836	1975	9	State
1975M09	9/1/1975	IL	26.95782344	1975	9	State
1975M09	9/1/1975	IN	33.08564012	1975	9	State
1975M09	9/1/1975	KS	35.80449382	1975	9	State
1975M09	9/1/1975	KY	33.22728994	1975	9	State
1975M09	9/1/1975	LA	35.59556767	1975	9	State
1975M09	9/1/1975	MA	15.82903399	1975	9	State
1975M09	9/1/1975	MD	27.66820617	1975	9	State
1975M09	9/1/1975	ME	28.81217241	1975	9	State
1975M09	9/1/1975	MI	25.40879826	1975	9	State
1975M09	9/1/1975	MN	27.5044763	1975	9	State
1975M09	9/1/1975	MO	31.3486918	1975	9	State
1975M09	9/1/1975	MS	41.64806908	1975	9	State
1975M09	9/1/1975	MT	29.09073261	1975	9	State
1975M09	9/1/1975	NC	29.69595743	1975	9	State
1975M09	9/1/1975	ND	42.13015414	1975	9	State
1975M09	9/1/1975	NE	31.18247506	1975	9	State
1975M09	9/1/1975	NH	23.21143441	1975	9	State
1975M09	9/1/1975	NJ	23.0938631	1975	9	State
1975M09	9/1/1975	NM	29.72091271	1975	9	State
1975M09	9/1/1975	NV	30.55624892	1975	9	State
1975M09	9/1/1975	NY	23.90879151	1975	9	State
1975M09	9/1/1975	OH	31.60485444	1975	9	State
1975M09	9/1/1975	OK	38.21628304	1975	9	State
1975M09	9/1/1975	OR	22.62564379	1975	9	State
1975M09	9/1/1975	PA	29.67391692	1975	9	State
1975M09	9/1/1975	RI	22.69153567	1975	9	State
1975M09	9/1/1975	SC	32.58127816	1975	9	State
1975M09	9/1/1975	SD	35.49533577	1975	9	State
1975M09	9/1/1975	TN	33.34061879	1975	9	State
1975M09	9/1/1975	TX	34.00138775	1975	9	State
1975M09	9/1/1975	UT	25.4685735	1975	9	State
1975M09	9/1/1975	VA	29.22119728	1975	9	State
1975M09	9/1/1975	VT	27.96119247	1975	9	State
1975M09	9/1/1975	WA	18.26752653	1975	9	State
1975M09	9/1/1975	WI	30.19820007	1975	9	State
1975M09	9/1/1975	WV	48.49164378	1975	9	State
1975M09	9/1/1975	WY	35.25347997	1975	9	State
1975M09	9/1/1975	US.NSA	24.76059177	1975	9	US
1975M09	9/1/1975	US.SA	24.55096558	1975	9	US
1975M10	10/1/1975	AK	39.4172496	1975	10	State
1975M10	10/1/1975	AL	35.99072881	1975	10	State
1975M10	10/1/1975	AR	38.43558369	1975	10	State
1975M10	10/1/1975	AZ	28.82204125	1975	10	State
1975M10	10/1/1975	CA	17.41097819	1975	10	State
1975M10	10/1/1975	CO	20.61733366	1975	10	State
1975M10	10/1/1975	CT	25.7774419	1975	10	State
1975M10	10/1/1975	DC	20.44623422	1975	10	State
1975M10	10/1/1975	DE	28.5957952	1975	10	State
1975M10	10/1/1975	FL	33.01837965	1975	10	State
1975M10	10/1/1975	GA	29.67848493	1975	10	State
1975M10	10/1/1975	HI	27.26811174	1975	10	State
1975M10	10/1/1975	IA	35.00677861	1975	10	State
1975M10	10/1/1975	ID	32.33276537	1975	10	State
1975M10	10/1/1975	IL	27.10449469	1975	10	State
1975M10	10/1/1975	IN	33.05555933	1975	10	State
1975M10	10/1/1975	KS	35.83758759	1975	10	State
1975M10	10/1/1975	KY	33.36211346	1975	10	State
