per_idx	cat_idx	dt_idx	et_idx	geo_idx	is_adj	val
29	2	1	0	1	0	105.3
29	2	1	0	2	0	23.3
29	2	1	0	3	0	24.6
29	2	1	0	4	0	28.3
29	2	1	0	5	0	29.1
29	2	2	0	1	0	74
29	2	3	0	1	0	24.8
29	4	1	0	1	1	1228
29	4	1	0	2	1	230
29	4	1	0	3	1	269
29	4	1	0	4	1	461
29	4	1	0	5	1	268
29	4	2	0	1	1	938
29	5	1	0	1	0	127.6
29	5	1	0	2	0	25.9
29	5	1	0	3	0	31
29	5	1	0	4	0	45.1
29	5	1	0	5	0	25.5
29	5	2	0	1	0	97.5
30	1	1	0	1	1	1070
30	1	1	0	2	1	221
30	1	1	0	3	1	220
30	1	1	0	4	1	305
30	1	1	0	5	1	324
30	1	2	0	1	1	716
30	1	3	0	1	1	285
30	2	1	0	1	0	104.5
30	2	1	0	2	0	21.7
30	2	1	0	3	0	24.7
30	2	1	0	4	0	28
30	2	1	0	5	0	30.1
30	2	2	0	1	0	72.4
30	2	3	0	1	0	25.9
30	4	1	0	1	1	1382
30	4	1	0	2	1	263
30	4	1	0	3	1	283
30	4	1	0	4	1	494
30	4	1	0	5	1	342
30	4	2	0	1	1	1011
30	5	1	0	1	0	134.8
30	5	1	0	2	0	29.1
30	5	1	0	3	0	31.7
30	5	1	0	4	0	43.8
30	5	1	0	5	0	30.2
30	5	2	0	1	0	101.6
31	1	1	0	1	1	1083
31	1	1	0	2	1	237
31	1	1	0	3	1	228
31	1	1	0	4	1	308
31	1	1	0	5	1	310
31	1	2	0	1	1	741
31	1	3	0	1	1	278
31	2	1	0	1	0	92.8
31	2	1	0	2	0	20.5
31	2	1	0	3	0	21.4
31	2	1	0	4	0	25.7
31	2	1	0	5	0	25.3
31	2	2	0	1	0	66.3
31	2	3	0	1	0	21.8
31	4	1	0	1	1	1335
31	4	1	0	2	1	259
31	4	1	0	3	1	269
31	4	1	0	4	1	482
31	4	1	0	5	1	325
31	4	2	0	1	1	1004
31	5	1	0	1	0	126.6
31	5	1	0	2	0	25.3
31	5	1	0	3	0	27.8
31	5	1	0	4	0	44.9
31	5	1	0	5	0	28.7
31	5	2	0	1	0	97.2
32	1	1	0	1	1	1159
32	1	1	0	2	1	301
32	1	1	0	3	1	225
32	1	1	0	4	1	319
32	1	1	0	5	1	314
32	1	2	0	1	1	747
32	1	3	0	1	1	341
32	2	1	0	1	0	108.6
32	2	1	0	2	0	28.9
32	2	1	0	3	0	21.9
32	2	1	0	4	0	29.3
32	2	1	0	5	0	28.5
32	2	2	0	1	0	71.1
32	2	3	0	1	0	31.3
32	4	1	0	1	1	1312
32	4	1	0	2	1	234
32	4	1	0	3	1	259
32	4	1	0	4	1	503
32	4	1	0	5	1	316
32	4	2	0	1	1	973
32	5	1	0	1	0	127.1
32	5	1	0	2	0	24
32	5	1	0	3	0	28.7
32	5	1	0	4	0	47.2
32	5	1	0	5	0	27.3
32	5	2	0	1	0	94.4
33	1	1	0	1	1	1098
33	1	1	0	2	1	226
33	1	1	0	3	1	235
33	1	1	0	4	1	315
33	1	1	0	5	1	322
33	1	2	0	1	1	738
33	1	3	0	1	1	288
33	2	1	0	1	0	90.4
33	2	1	0	2	0	19
33	2	1	0	3	0	20.9
33	2	1	0	4	0	25.8
33	2	1	0	5	0	24.7
33	2	2	0	1	0	62.1
33	2	3	0	1	0	22.6
33	4	1	0	1	1	1429
33	4	1	0	2	1	305
33	4	1	0	3	1	286
33	4	1	0	4	1	510
33	4	1	0	5	1	328
33	4	2	0	1	1	1052
33	5	1	0	1	0	125.4
33	5	1	0	2	0	29.4
33	5	1	0	3	0	27.2
33	5	1	0	4	0	42.5
33	5	1	0	5	0	26.3
33	5	2	0	1	0	92.6
34	1	1	0	1	1	1123
34	1	1	0	2	1	235
34	1	1	0	3	1	228
34	1	1	0	4	1	325
34	1	1	0	5	1	335
34	1	2	0	1	1	766
34	1	3	0	1	1	281
34	2	1	0	1	0	98.3
34	2	1	0	2	0	21.8
34	2	1	0	3	0	21.1
34	2	1	0	4	0	27.5
34	2	1	0	5	0	27.9
34	2	2	0	1	0	67
34	2	3	0	1	0	24.5
34	4	1	0	1	1	1415
34	4	1	0	2	1	263
34	4	1	0	3	1	292
34	4	1	0	4	1	511
34	4	1	0	5	1	349
34	4	2	0	1	1	993
34	5	1	0	1	0	124.8
34	5	1	0	2	0	23.2
34	5	1	0	3	0	27.6
34	5	1	0	4	0	43.6
34	5	1	0	5	0	30.5
34	5	2	0	1	0	92.5
35	1	1	0	1	1	1152
35	1	1	0	2	1	252
35	1	1	0	3	1	231
35	1	1	0	4	1	314
35	1	1	0	5	1	355
35	1	2	0	1	1	768
35	1	3	0	1	1	310
35	2	1	0	1	0	87.4
35	2	1	0	2	0	21.1
35	2	1	0	3	0	17.5
35	2	1	0	4	0	23.3
35	2	1	0	5	0	25.6
35	2	2	0	1	0	56.2
35	2	3	0	1	0	25.7
35	4	1	0	1	1	1385
35	4	1	0	2	1	253
35	4	1	0	3	1	296
35	4	1	0	4	1	492
35	4	1	0	5	1	344
35	4	2	0	1	1	1018
35	5	1	0	1	0	103
35	5	1	0	2	0	19.2
35	5	1	0	3	0	21.1
35	5	1	0	4	0	36.9
35	5	1	0	5	0	25.8
35	5	2	0	1	0	74.4
36	1	1	0	1	1	1161
36	1	1	0	2	1	275
36	1	1	0	3	1	227
36	1	1	0	4	1	321
36	1	1	0	5	1	338
36	1	2	0	1	1	774
36	1	3	0	1	1	315
36	2	1	0	1	0	71.7
36	2	1	0	2	0	19.5
36	2	1	0	3	0	11.1
36	2	1	0	4	0	18.9
36	2	1	0	5	0	22.2
36	2	2	0	1	0	41.8
36	2	3	0	1	0	25.1
36	4	1	0	1	1	1365
36	4	1	0	2	1	256
36	4	1	0	3	1	278
36	4	1	0	4	1	503
36	4	1	0	5	1	328
36	4	2	0	1	1	1005
36	5	1	0	1	0	82.2
36	5	1	0	2	0	15
36	5	1	0	3	0	13.5
36	5	1	0	4	0	31.1
36	5	1	0	5	0	22.7
36	5	2	0	1	0	55.5
37	1	1	0	1	1	1122
37	1	1	0	2	1	269
37	1	1	0	3	1	199
37	1	1	0	4	1	323
37	1	1	0	5	1	331
37	1	2	0	1	1	717
37	1	3	0	1	1	323
37	2	1	0	1	0	73.2
37	2	1	0	2	0	12.9
37	2	1	0	3	0	9.2
37	2	1	0	4	0	24.4
37	2	1	0	5	0	26.7
37	2	2	0	1	0	44.3
37	2	3	0	1	0	23
37	4	1	0	1	1	1361
37	4	1	0	2	1	276
37	4	1	0	3	1	235
37	4	1	0	4	1	485
37	4	1	0	5	1	365
37	4	2	0	1	1	974
37	5	1	0	1	0	81.2
37	5	1	0	2	0	11.5
37	5	1	0	3	0	9.5
37	5	1	0	4	0	32
37	5	1	0	5	0	28.2
37	5	2	0	1	0	54.4
38	1	1	0	1	1	1194
38	1	1	0	2	1	275
38	1	1	0	3	1	253
38	1	1	0	4	1	339
38	1	1	0	5	1	327
38	1	2	0	1	1	741
38	1	3	0	1	1	372
38	2	1	0	1	0	74.6
38	2	1	0	2	0	14.1
38	2	1	0	3	0	11.9
38	2	1	0	4	0	24.4
38	2	1	0	5	0	24.3
38	2	2	0	1	0	45.1
38	2	3	0	1	0	24.4
38	4	1	0	1	1	1278
38	4	1	0	2	1	215
38	4	1	0	3	1	275
38	4	1	0	4	1	498
38	4	1	0	5	1	290
38	4	2	0	1	1	946
38	5	1	0	1	0	77.1
38	5	1	0	2	0	9.1
38	5	1	0	3	0	10.3
38	5	1	0	4	0	35.6
38	5	1	0	5	0	22.1
38	5	2	0	1	0	53.2
39	1	1	0	1	1	1134
39	1	1	0	2	1	243
39	1	1	0	3	1	223
39	1	1	0	4	1	330
39	1	1	0	5	1	338
39	1	2	0	1	1	706
39	1	3	0	1	1	345
39	2	1	0	1	0	101.4
39	2	1	0	2	0	19.8
39	2	1	0	3	0	18.7
39	2	1	0	4	0	31.4
39	2	1	0	5	0	31.5
39	2	2	0	1	0	63.3
39	2	3	0	1	0	29.7
39	4	1	0	1	1	1443
