date	state	hpi	year	month	type
11/1/1975	CA	17.56187303	1975	11	State
11/1/1975	CO	20.73580833	1975	11	State
11/1/1975	CT	26.00047291	1975	11	State
11/1/1975	DC	20.55793412	1975	11	State
11/1/1975	DE	28.68915721	1975	11	State
11/1/1975	FL	33.28048535	1975	11	State
11/1/1975	GA	29.57289081	1975	11	State
11/1/1975	HI	27.25652434	1975	11	State
11/1/1975	IA	35.15114139	1975	11	State
11/1/1975	ID	32.71911748	1975	11	State
11/1/1975	IL	27.34466248	1975	11	State
11/1/1975	IN	33.36233724	1975	11	State
11/1/1975	KS	35.93379178	1975	11	State
11/1/1975	KY	33.33113595	1975	11	State
11/1/1975	LA	35.98846229	1975	11	State
11/1/1975	MA	15.88875735	1975	11	State
11/1/1975	MD	28.06975112	1975	11	State
11/1/1975	ME	29.00465882	1975	11	State
11/1/1975	MI	25.16934569	1975	11	State
11/1/1975	MN	27.47469126	1975	11	State
11/1/1975	MO	31.13244605	1975	11	State
11/1/1975	MS	41.54694352	1975	11	State
11/1/1975	MT	29.37015899	1975	11	State
11/1/1975	NC	30.01142546	1975	11	State
11/1/1975	ND	43.44055581	1975	11	State
11/1/1975	NE	31.67345665	1975	11	State
11/1/1975	NH	23.37356797	1975	11	State
11/1/1975	NJ	22.88922082	1975	11	State
11/1/1975	NM	29.71494688	1975	11	State
11/1/1975	NV	31.17559779	1975	11	State
11/1/1975	NY	23.98952656	1975	11	State
11/1/1975	OH	31.91461463	1975	11	State
11/1/1975	OK	39.05532025	1975	11	State
11/1/1975	OR	22.78122877	1975	11	State
11/1/1975	PA	29.29758141	1975	11	State
11/1/1975	RI	22.7269098	1975	11	State
11/1/1975	SC	32.46735502	1975	11	State
11/1/1975	SD	35.46799281	1975	11	State
11/1/1975	TN	34.13333784	1975	11	State
11/1/1975	TX	34.37840606	1975	11	State
11/1/1975	UT	25.96726096	1975	11	State
11/1/1975	VA	29.13645913	1975	11	State
11/1/1975	VT	28.02836512	1975	11	State
11/1/1975	WA	18.42699002	1975	11	State
11/1/1975	WI	30.66877578	1975	11	State
11/1/1975	WV	49.07235802	1975	11	State
11/1/1975	WY	35.77449771	1975	11	State
11/1/1975	US.NSA	24.96819399	1975	11	State
11/1/1975	US.SA	24.85119496	1975	11	State
12/1/1975	AK	40.15835316	1975	12	State
12/1/1975	AL	36.4042498	1975	12	State
12/1/1975	AR	38.64982718	1975	12	State
12/1/1975	AZ	29.32888664	1975	12	State
12/1/1975	CA	17.68488268	1975	12	State
12/1/1975	CO	20.94526772	1975	12	State
12/1/1975	CT	26.22602566	1975	12	State
12/1/1975	DC	20.62587901	1975	12	State
12/1/1975	DE	28.72992077	1975	12	State
12/1/1975	FL	33.41389778	1975	12	State
12/1/1975	GA	29.63822675	1975	12	State
12/1/1975	HI	27.23150631	1975	12	State
12/1/1975	IA	35.35380257	1975	12	State
12/1/1975	ID	33.20329038	1975	12	State
12/1/1975	IL	27.68482354	1975	12	State
12/1/1975	IN	33.75498091	1975	12	State
12/1/1975	KS	36.12310502	1975	12	State
12/1/1975	KY	33.28280732	1975	12	State
12/1/1975	LA	36.27250322	1975	12	State
12/1/1975	MA	15.90249298	1975	12	State
