date	state	pcdebt
12/1/2015	NV	47.37
12/1/2015	NY	47.18
12/1/2015	OH	34.97
12/1/2015	PA	39.73
12/1/2015	TX	38.43
12/1/2015	ALL	46.1681
3/1/2016	AZ	48.03
3/1/2016	CA	67.03
3/1/2016	FL	40.42
3/1/2016	IL	45.01
3/1/2016	MI	35.03
3/1/2016	NJ	57.08
3/1/2016	NV	47.36
3/1/2016	NY	47.55
3/1/2016	OH	34.71
3/1/2016	PA	40.31
3/1/2016	TX	38.83
3/1/2016	ALL	46.58528
6/1/2016	AZ	47.68
6/1/2016	CA	66.82
6/1/2016	FL	40.84
6/1/2016	IL	44.96
6/1/2016	MI	35.82
6/1/2016	NJ	56.64
6/1/2016	NV	45.74
6/1/2016	NY	47.94
6/1/2016	OH	34.63
6/1/2016	PA	40.23
6/1/2016	TX	38.9
6/1/2016	ALL	46.62322
