cbsa.code	cbsa.name
26580	"Huntington-Ashland, WV-KY-OH Metro Area"
26620	"Huntsville, AL Metro Area"
26660	"Huntsville, TX Micro Area"
26700	"Huron, SD Micro Area"
26740	"Hutchinson, KS Micro Area"
26780	"Hutchinson, MN Micro Area"
26820	"Idaho Falls, ID Metro Area"
26860	"Indiana, PA Micro Area"
26900	"Indianapolis-Carmel-Anderson, IN Metro Area"
26940	"Indianola, MS Micro Area"
26960	"Ionia, MI Micro Area"
26980	"Iowa City, IA Metro Area"
27020	"Iron Mountain, MI-WI Micro Area"
27060	"Ithaca, NY Metro Area"
27100	"Jackson, MI Metro Area"
27140	"Jackson, MS Metro Area"
27160	"Jackson, OH Micro Area"
27180	"Jackson, TN Metro Area"
27220	"Jackson, WY-ID Micro Area"
27260	"Jacksonville, FL Metro Area"
27300	"Jacksonville, IL Micro Area"
27340	"Jacksonville, NC Metro Area"
27380	"Jacksonville, TX Micro Area"
27420	"Jamestown, ND Micro Area"
27460	"Jamestown-Dunkirk-Fredonia, NY Micro Area"
27500	"Janesville-Beloit, WI Metro Area"
27540	"Jasper, IN Micro Area"
27580	"Jayuya, PR Micro Area"
27600	"Jefferson, GA Micro Area"
27620	"Jefferson City, MO Metro Area"
27700	"Jesup, GA Micro Area"
27740	"Johnson City, TN Metro Area"
27780	"Johnstown, PA Metro Area"
27860	"Jonesboro, AR Metro Area"
27900	"Joplin, MO Metro Area"
27920	"Junction City, KS Micro Area"
27940	"Juneau, AK Micro Area"
27980	"Kahului-Wailuku-Lahaina, HI Metro Area"
28020	"Kalamazoo-Portage, MI Metro Area"
28060	"Kalispell, MT Micro Area"
28100	"Kankakee, IL Metro Area"
28140	"Kansas City, MO-KS Metro Area"
28180	"Kapaa, HI Micro Area"
28260	"Kearney, NE Micro Area"
28300	"Keene, NH Micro Area"
28340	"Kendallville, IN Micro Area"
28380	"Kennett, MO Micro Area"
28420	"Kennewick-Richland, WA Metro Area"
28500	"Kerrville, TX Micro Area"
28540	"Ketchikan, AK Micro Area"
28580	"Key West, FL Micro Area"
28620	"Kill Devil Hills, NC Micro Area"
28660	"Killeen-Temple, TX Metro Area"
28700	"Kingsport-Bristol-Bristol, TN-VA Metro Area"
28740	"Kingston, NY Metro Area"
28780	"Kingsville, TX Micro Area"
28820	"Kinston, NC Micro Area"
28860	"Kirksville, MO Micro Area"
