cbsa	cbsa.name	metro.micro	city	FIPS.st	FIPS.place	state	name	metro.pop
40900	"Sacramento--Roseville--Arden-Arcade, CA"	Metropolitan Statistical Area	Roseville	06	62938	CA	Roseville CA	2274194
40900	"Sacramento--Roseville--Arden-Arcade, CA"	Metropolitan Statistical Area	Sacramento	06	64000	CA	Sacramento CA	2274194
40940	"Safford, AZ"	Micropolitan Statistical Area	Safford	04	62000	AZ	Safford AZ	37666
40980	"Saginaw, MI"	Metropolitan Statistical Area	Saginaw	26	70520	MI	Saginaw MI	193307
41060	"St. Cloud, MN"	Metropolitan Statistical Area	St. Cloud	27	56896	MN	St. Cloud MN	194418
41100	"St. George, UT"	Metropolitan Statistical Area	St. George	49	65330	UT	St. George UT	155602
41140	"St. Joseph, MO-KS"	Metropolitan Statistical Area	St. Joseph	29	64550	MO	St. Joseph MO	126880
41180	"St. Louis, MO-IL"	Metropolitan Statistical Area	St. Charles	29	64082	MO	St. Charles MO	2811588
41180	"St. Louis, MO-IL"	Metropolitan Statistical Area	St. Louis	29	65000	MO	St. Louis MO	2811588
41220	"St. Marys, GA"	Micropolitan Statistical Area	St. Marys	13	67984	GA	St. Marys GA	52102
41260	"St. Marys, PA"	Micropolitan Statistical Area	St. Marys	42	67344	PA	St. Marys PA	0
41400	"Salem, OH"	Micropolitan Statistical Area	Salem	39	69834	OH	Salem OH	104806
41420	"Salem, OR"	Metropolitan Statistical Area	Salem	41	64900	OR	Salem OR	410091
41460	"Salina, KS"	Micropolitan Statistical Area	Salina	20	62700	KS	Salina KS	61666
41500	"Salinas, CA"	Metropolitan Statistical Area	Salinas	06	64224	CA	Salinas CA	433898
41540	"Salisbury, MD-DE"	Metropolitan Statistical Area	Salisbury	24	69925	MD	Salisbury MD	395300
41620	"Salt Lake City, UT"	Metropolitan Statistical Area	Salt Lake City	49	67000	UT	Salt Lake City UT	1170266
41660	"San Angelo, TX"	Metropolitan Statistical Area	San Angelo	48	64472	TX	San Angelo TX	119659
41700	"San Antonio-New Braunfels, TX"	Metropolitan Statistical Area	New Braunfels	48	50820	TX	New Braunfels TX	2384075
41700	"San Antonio-New Braunfels, TX"	Metropolitan Statistical Area	San Antonio	48	65000	TX	San Antonio TX	2384075
41740	"San Diego-Carlsbad, CA"	Metropolitan Statistical Area	Carlsbad	06	11194	CA	Carlsbad CA	3299521
41740	"San Diego-Carlsbad, CA"	Metropolitan Statistical Area	San Diego	06	66000	CA	San Diego CA	3299521
41760	"Sandpoint, ID"	Micropolitan Statistical Area	Sandpoint	16	72100	ID	Sandpoint ID	41859
41780	"Sandusky, OH"	Micropolitan Statistical Area	Sandusky	39	70380	OH	Sandusky OH	75550
41820	"Sanford, NC"	Micropolitan Statistical Area	Sanford	37	59280	NC	Sanford NC	59660
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	Berkeley	06	06000	CA	Berkeley CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	Hayward	06	33000	CA	Hayward CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	Oakland	06	53000	CA	Oakland CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	Pleasanton	06	57792	CA	Pleasanton CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	Redwood City	06	60102	CA	Redwood City CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	San Francisco	06	67000	CA	San Francisco CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	San Leandro	06	68084	CA	San Leandro CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	San Rafael	06	68364	CA	San Rafael CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	San Ramon	06	68378	CA	San Ramon CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	South San Francisco	06	73262	CA	South San Francisco CA	4656132
41860	"San Francisco-Oakland-Hayward, CA"	Metropolitan Statistical Area	Walnut Creek	06	83346	CA	Walnut Creek CA	4656132
41900	"San Germán, PR"	Metropolitan Statistical Area	San Germán	72	76167	PR	San Germán PR	130228
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	Cupertino	06	17610	CA	Cupertino CA	1976836
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	Milpitas	06	47766	CA	Milpitas CA	1976836
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	Mountain View	06	49670	CA	Mountain View CA	1976836
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	Palo Alto	06	55282	CA	Palo Alto CA	1976836
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	San Jose	06	68000	CA	San Jose CA	1976836
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	Santa Clara	06	69084	CA	Santa Clara CA	1976836
41940	"San Jose-Sunnyvale-Santa Clara, CA"	Metropolitan Statistical Area	Sunnyvale	06	77000	CA	Sunnyvale CA	1976836
41980	"San Juan-Carolina-Caguas, PR"	Metropolitan Statistical Area	Caguas	72	10334	PR	Caguas PR	2196538
41980	"San Juan-Carolina-Caguas, PR"	Metropolitan Statistical Area	Carolina	72	14290	PR	Carolina PR	2196538
41980	"San Juan-Carolina-Caguas, PR"	Metropolitan Statistical Area	Guaynabo	72	32522	PR	Guaynabo PR	2196538
41980	"San Juan-Carolina-Caguas, PR"	Metropolitan Statistical Area	San Juan	72	76770	PR	San Juan PR	2196538
42020	"San Luis Obispo-Paso Robles-Arroyo Grande, CA"	Metropolitan Statistical Area	Arroyo Grande	06	02868	CA	Arroyo Grande CA	281401
42020	"San Luis Obispo-Paso Robles-Arroyo Grande, CA"	Metropolitan Statistical Area	El Paso de Robles (Paso Robles)	06	22300	CA	El Paso de Robles (Paso Robles) CA	281401
42020	"San Luis Obispo-Paso Robles-Arroyo Grande, CA"	Metropolitan Statistical Area	San Luis Obispo	06	68154	CA	San Luis Obispo CA	281401
42100	"Santa Cruz-Watsonville, CA"	Metropolitan Statistical Area	Santa Cruz	06	69112	CA	Santa Cruz CA	274146
42100	"Santa Cruz-Watsonville, CA"	Metropolitan Statistical Area	Watsonville	06	83668	CA	Watsonville CA	274146
42140	"Santa Fe, NM"	Metropolitan Statistical Area	Santa Fe	35	70500	NM	Santa Fe NM	148686
42180	"Santa Isabel, PR"	Micropolitan Statistical Area	Santa Isabel	72	78145	PR	Santa Isabel PR	22517
42200	"Santa Maria-Santa Barbara, CA"	Metropolitan Statistical Area	Santa Barbara	06	69070	CA	Santa Barbara CA	444769
42200	"Santa Maria-Santa Barbara, CA"	Metropolitan Statistical Area	Santa Maria	06	69196	CA	Santa Maria CA	444769
42220	"Santa Rosa, CA"	Metropolitan Statistical Area	Santa Rosa	06	70098	CA	Santa Rosa CA	502146
